文件名,区间开始时间,区间结束时间,蓝_平均值,蓝_最大值,蓝_最小值,黄_平均值,黄_最大值,黄_最小值,白_平均值,白_最大值,白_最小值,粉_平均值,粉_最大值,粉_最小值,紫_平均值,紫_最大值,紫_最小值
无，无效（有效）1-1.mp4,4.358,5.058,27.462,33.303,22.806,1.605,6.154,-2.265,127.9,133.7,123.2,25.002,27.119,23.455,51.4,59.8,43.2
无，有效2-1.mp4,3.27,5.867,7.662,35.195,1.001,-1.292,7.218,-31.069,100.3,127.9,93.7,40.537,45.677,22.691,25.4,46.3,21.3
无；无效（有效）6-1.mp4,4.086,4.838,30.42,40.862,2.508,-3.569,16.861,-33.647,131.8,142.3,103.9,21.931,24.898,18.768,52,68.6,12.9
无；无效（有效）7-1.mp4,3.129,3.796,24.344,32.677,2.457,-6.044,0,-23.27,132.2,140.5,110.3,19.728,23.631,16.243,55,71.4,20.5
无；无效（有效）8-1.mp4,3.41,4.23,27.417,38.704,6.931,-3.318,9.465,-15.171,130.2,141.5,109.7,18.679,21.344,16.606,47.7,69.4,14.6
无；无效(有效)9-1.mp4,3.829,4.399,26.03,28.296,21.903,1.598,4.152,0,133,135.3,128.9,18.046,20.774,16.432,53,57,48.4
无；无效（有效）10-1.mp4,4.338,5.17,28.727,37.233,5.103,-4.049,7.838,-31.835,132.1,140.6,108.5,20.59,24.916,14.279,52.8,68,16
无；无效（有效）11-1.mp4,3.146,3.839,30.03,37.924,23.943,-0.389,12.034,-6.596,139.1,147,133,21.047,22.102,20.438,63.7,74.8,58.3
无；有效3-1.mp4,4.063,4.799,33.257,36.345,29.753,-0.494,2.644,-4.509,121.9,125,118.4,21.937,25.656,17.836,32.2,41.6,22
无；有效4-1.mp4,5.118,5.859,47.343,62.947,23.75,-3.06,15.197,-39.198,109.1,124.7,85.5,25.206,29.664,19.67,25.9,43.8,4.9
无；有效5-1.mp4,3.263,3.991,40.401,51.214,30.383,-0.56,9.652,-14.013,114.8,125.6,104.7,23.23,26.462,19.422,29.2,47.8,9.4
无；有效12-1.mp4,4.72,8.667,7.836,40.385,1.014,-1.187,6.016,-36.316,88.5,121,81.6,30.176,37.149,15.497,12,34.9,8.4
肿胀；无效（有效）8-1.mp4,3.268,3.981,31.86,37.001,29.019,1.303,3.773,-1.465,121.3,126.4,118.4,20,21.093,17.358,34,43.8,27.6
肿胀；有效1-1.mp4,4.619,5.329,29.247,33.69,24.661,0.991,4.851,-4.072,114.9,119.3,110.3,42.461,48.789,38.547,38.3,41.3,36.5
肿胀；有效2-1.mp4,3.302,3.989,29.663,37.418,20.384,1.674,10.681,-8.663,116.8,124.6,107.6,42.863,45.95,39.736,39.2,44.6,34.3
肿胀；有效3-1.mp4,5.299,9.067,5.122,32.352,0.572,-0.641,6.25,-31.78,91.2,118.4,86.6,57.187,60.529,38.178,27.6,41.7,24.6
肿胀；有效4-1.mp4,4.769,5.329,23.44,26.318,20.019,1.001,3.38,-2.293,111.6,114.5,108.2,39.196,40.166,37.276,35.9,39.2,31.6
肿胀；有效5-1.mp4,5.154,9.867,5.371,35.133,1.31,-0.585,8.963,-27.466,91.7,121.4,87.6,57.189,59.873,39.069,27.1,42.7,23.9
肿胀；有效6-1.mp4,5.132,5.862,30.074,33.74,27.435,0.508,6.306,-1.949,115.4,119.1,112.7,40.103,43.115,37.316,37.4,39.6,34.3
肿胀；有效7-1.mp4,5.675,6.394,33.549,38.264,28.041,2.044,7.512,-5.049,117.8,122.5,112.3,40.107,41.913,38.632,39.6,43.6,35.6
肿胀；有效9.mp4,2.199,2.91,32.585,39.88,29.348,1.659,7.195,-2.161,122.3,129.6,119.1,21.566,26.648,18.095,37,49.5,30.9
肿胀；有效-10-1.mp4,5.416,6.347,18.866,30.194,0.07,-3.609,2.468,-24.072,104.9,116.2,86.1,47.836,60.481,39.274,33.2,39.5,25.4
肿胀；有效11-1.mp4,1.678,2.373,31.46,35.872,26.581,1.858,4.551,0,121.3,125.7,116.4,21.006,22.775,19.758,34.2,42.2,25.6
无；无效1-1.mp4,无区间,无区间,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
无；无效5-1.mp4,3.587,6.533,5.158,25.71,0.396,-0.732,3.896,-15.784,109.7,130.2,104.9,35.456,40.31,18.225,28.7,50.7,19.2
无；无效6-1.mp4,2.77,3.996,16.659,30.967,2.797,-1.927,4.952,-20.873,119.1,133.4,105.3,27.218,39.66,17.571,37.4,57.7,20.5
无；无效7-1.mp4,3.569,6.667,5.337,29.712,0.811,-0.76,5.752,-26.942,110.2,134.6,105.7,35.672,39.679,17.693,31.2,59,27.2
无；无效8-1.mp4,2.369,3.156,18.267,25.235,3.112,-2.844,5.062,-16.344,127.3,134.3,112.1,22.178,34.047,16.759,48.2,59.4,29.8
无；无效9-1.mp4,4.392,7.736,5.268,28.705,0.251,-0.614,6.356,-22.279,112.8,136.2,107.8,41.119,46.205,18.956,39.3,67.6,34.3
无；无效12-1.mp4,7.438,10.133,11.089,35.617,3.659,-0.68,7.388,-25.6,116.2,140.7,108.8,41.346,47.86,20.974,45.4,76.5,37.5
无；有效（无效）2-1.mp4,2.579,3.318,51.757,57.915,45.465,1.072,12.45,-4.794,115.4,121.6,109.2,23.895,31.097,16.929,31.7,39,27.3
无；有效（无效）4-1.mp4,3.639,4.262,49.416,53.231,46.739,-0.695,3.711,-5.986,115.8,119.6,113.1,23.435,26.496,21.469,33.2,42,25
无；有效（无效）10-1.mp4,4.076,5.049,22.749,33.786,2.996,-3.475,7.143,-28.86,124.9,135.9,105.1,28.445,44.887,17.838,53.6,69,33.4
无；有效（无效）11-1.mp4,4.076,5.049,22.749,33.786,2.996,-3.475,7.143,-28.86,124.9,135.9,105.1,28.445,44.887,17.838,53.6,69,33.4
肿胀；无效1-1.mp4,2.99,3.617,32.802,44.372,3.336,-6.613,7.968,-35.45,108.2,119.8,78.8,25.666,40.464,19.692,24,38,8.7
肿胀；无效2-1.mp4,2.204,2.918,33.7,37.121,28.944,0.963,3.771,-3.363,112.5,115.9,107.8,22.661,26.807,20.052,16.9,24.5,10.9
肿胀；无效3-1.mp4,2.257,2.92,32.747,40.256,16.639,4.208,13.902,-2.577,111.3,118.8,95.2,22.782,36.756,17.076,21.3,29.8,11.3
肿胀；无效4-1.mp4,2.099,2.799,32.507,39.297,20.847,3.651,10.914,-0.234,104.7,111.5,93.1,22.591,29.785,19.76,7.2,12,4.4
肿胀；无效5-1.mp4,1.938,2.642,35.618,48.31,23.004,-1.169,12.549,-13.529,103.1,115.8,90.5,23.787,31.212,18.439,8.9,20.3,2.9
肿胀；无效7-1.mp4,2.723,3.458,33.488,37.094,30.801,-0.464,3.972,-3.751,111.6,115.2,108.9,25.972,27.724,24.734,19,27.8,11.2
肿胀；无效8-1.mp4,2.456,3.181,35.309,38.718,31.305,-1.182,1.503,-4.614,111.8,115.2,107.8,27.282,30.703,25.048,19.5,28.6,13.9
肿胀；无效9-1.mp4,1.013,1.707,26.413,31.076,23.238,1.019,4.098,-1.543,104.6,109.3,101.5,27.228,29.105,25.224,6.5,10.1,4.5
肿胀；无效10-1.mp4,2.352,3.055,26.225,32.524,17.522,-1.31,8.454,-10.868,105.9,112.2,97.2,28.974,32.565,24.692,11.2,16.5,6.2
肿胀；有效（无效）6-1.mp4,1.796,2.509,38.438,43.634,32.901,1.553,8.944,-2.846,122.4,127.6,116.9,26.025,32.46,21.9,40.5,48.1,26.8
肿胀；有效（无效）11-1.mp4,6.857,10.8,5.321,36.597,-0.421,-1.121,1.208,-25.913,91.2,122.5,85.5,56.816,60.323,38.756,27.6,44.7,24.9
